iter	RMSE
0	79200.05715
1	78968.15504
2	78716.75653
3	78477.93364
4	78251.51632
5	77986.68444
6	77714.083
7	77443.49342
8	77201.6995
9	76945.00918
10	76684.94296
11	76434.25568
12	76184.33715
13	75933.5106
14	75698.37163
15	75476.8209
16	75233.06822
17	75019.83489
18	74776.27301
19	74548.54146
20	74337.92992
21	74135.42209
22	73936.86513
23	73716.47646
24	73507.835
25	73261.84674
26	73037.00382
27	72804.73123
28	72576.35015
29	72358.41235
30	72134.95632
31	71914.26157
32	71694.76445
33	71467.90261
34	71270.17195
35	71077.66826
36	70851.64458
37	70629.31456
38	70406.7628
39	70180.58038
40	69949.47634
41	69752.54367
42	69519.02879
43	69318.49066
44	69115.31849
45	68899.83699
46	68685.46875
47	68482.71823
48	68272.36226
49	68060.49822
50	67864.29951
51	67660.72618
52	67446.87429
53	67254.75333
54	67055.47362
55	66842.40611
56	66645.10327
57	66450.96425
58	66262.84693
59	66081.78306
60	65889.19682
61	65689.17953
62	65488.2071
63	65305.52965
64	65131.90768
65	64933.18904
66	64754.23681
67	64578.28549
68	64396.46367
69	64214.34709
70	64048.90981
71	63855.70772
72	63676.24445
73	63501.31633
74	63304.65535
75	63111.34207
76	62913.16901
77	62722.26894
78	62547.77143
79	62402.02485
80	62214.21919
81	62035.38128
82	61869.30168
83	61696.32875
84	61509.22472
85	61334.20932
86	61153.19274
87	60983.77433
88	60804.89342
89	60623.88891
90	60455.77453
91	60292.23379
92	60123.06803
93	59956.95063
94	59806.68938
95	59647.33123
96	59496.78376
97	59359.06733
98	59187.62265
99	59035.6919
100	58858.91849
101	58681.34467
102	58526.57015
103	58370.88531
104	58214.05393
105	58059.05276
106	57900.20549
107	57751.71889
108	57604.98393
109	57442.56317
110	57285.70875
111	57132.11801
112	56991.56474
113	56835.90643
114	56671.23706
115	56516.50897
116	56355.27439
117	56197.06426
118	56039.931
119	55890.34984
120	55737.74971
121	55598.34553
122	55473.60177
123	55345.21152
124	55214.54136
125	55068.40127
126	54914.34232
127	54772.23982
128	54630.49378
129	54478.68322
130	54335.71125
131	54191.37688
132	54065.25221
133	53926.69108
134	53801.60393
135	53651.41028
136	53512.37367
137	53370.0391
138	53243.11672
139	53110.07323
140	52973.832
141	52825.9275
142	52701.69144
143	52575.27722
144	52429.72226
145	52303.76986
146	52162.1688
147	52033.4475
148	51908.0389
149	51779.5503
150	51645.47245
151	51514.10876
152	51390.99885
153	51271.47311
154	51138.57598
155	51002.27777
156	50886.56906
157	50762.9658
158	50631.4475
159	50503.68018
160	50380.51459
161	50256.79584
162	50131.39642
163	50018.67434
164	49899.33599
165	49787.52944
166	49666.18002
167	49548.59479
168	49437.8295
169	49329.99128
170	49214.46303
171	49088.14917
172	48969.72798
173	48849.28084
174	48728.66176
175	48617.63685
176	48509.55804
177	48398.26936
178	48280.77671
179	48168.60532
180	48060.85523
181	47952.98788
182	47825.69128
183	47712.96963
184	47605.35156
185	47498.48821
186	47389.23464
187	47299.66173
188	47198.44485
189	47099.9637
190	46998.21964
191	46876.16674
192	46782.3332
193	46678.3383
194	46575.19366
195	46465.81236
196	46352.308
197	46250.42149
198	46142.78777
199	46041.67457
200	45945.33169
201	45842.43454
202	45739.00996
203	45646.52374
204	45548.03021
205	45439.99217
206	45353.37606
207	45254.26477
208	45148.60954
209	45052.03676
210	44951.77102
211	44858.73823
212	44754.02857
213	44658.36867
214	44568.69371
215	44477.60367
216	44386.42877
217	44285.78965
218	44192.6004
219	44100.46779
220	44013.11072
221	43931.42217
222	43850.18458
223	43761.01019
224	43671.25442
225	43581.30487
226	43486.50019
227	43401.52876
228	43313.57784
229	43229.91504
230	43139.34582
231	43053.733
232	42966.95721
233	42880.65991
234	42794.24816
235	42705.99715
236	42621.52055
237	42533.26632
238	42458.5232
239	42380.27715
240	42288.22054
241	42207.33463
242	42133.32787
243	42044.40705
244	41961.41674
245	41882.83945
246	41800.15978
247	41706.03517
248	41634.15495
249	41553.13411
250	41471.4319
251	41391.30716
252	41312.75657
253	41237.94048
254	41162.29216
255	41083.71644
256	41003.35814
257	40927.82656
258	40852.98129
259	40769.38118
260	40698.37456
261	40623.05966
262	40536.18305
263	40460.58492
264	40391.39736
265	40321.35436
266	40241.07858
267	40169.50848
268	40099.09814
269	40026.83526
270	39954.28419
271	39884.52302
272	39807.36895
273	39737.93089
274	39659.68376
275	39580.99691
276	39519.34173
277	39440.62616
278	39373.83678
279	39295.65074
280	39234.15703
281	39168.48169
282	39094.88574
283	39021.18132
284	38959.03987
285	38886.73298
286	38828.81733
287	38763.25801
288	38702.04502
289	38631.20307
290	38553.59695
291	38474.72619
292	38396.55226
293	38326.40872
294	38260.61584
295	38198.19264
296	38135.36021
297	38070.05661
298	38003.47508
299	37942.21172
