iter	Passed	Remaining
0	0	3199
1	1	3029
2	1	2929
3	1	2887
4	2	2883
5	2	2867
6	3	2849
7	3	2829
8	4	2834
9	4	2831
10	5	2830
11	5	2833
12	6	2848
13	6	2861
14	7	2878
15	7	2895
16	8	2902
17	8	2911
18	9	2917
19	9	2916
20	10	2924
21	10	2922
22	11	2924
23	11	2928
24	12	2945
25	12	2941
26	13	2948
27	13	2954
28	14	2962
29	14	2963
30	15	2964
31	15	2969
32	16	2975
33	17	2983
34	17	2986
35	18	2994
36	18	3000
37	19	3001
38	19	3004
39	20	3003
40	20	3007
41	21	3010
42	21	3012
43	22	3016
44	22	3017
45	23	3024
46	23	3028
47	24	3027
48	24	3027
49	25	3032
50	26	3037
51	26	3038
52	27	3042
53	27	3042
54	28	3045
55	28	3043
56	29	3044
57	29	3045
58	30	3049
59	30	3053
60	31	3056
61	31	3057
62	32	3058
63	33	3061
64	33	3081
65	34	3080
66	34	3082
67	35	3083
68	35	3084
69	36	3084
70	36	3084
71	37	3085
72	38	3086
73	38	3087
74	39	3087
75	39	3091
76	40	3091
77	40	3091
78	41	3093
79	41	3095
80	42	3098
81	42	3102
82	43	3105
83	44	3105
84	44	3105
85	45	3105
86	45	3105
87	46	3107
88	46	3109
89	47	3109
90	47	3109
91	48	3110
92	48	3111
93	49	3112
94	50	3117
95	50	3120
96	51	3120
97	51	3121
98	52	3120
99	52	3121
100	53	3123
101	54	3124
102	54	3123
103	55	3123
104	55	3124
105	56	3125
106	56	3125
107	57	3126
108	57	3127
109	58	3125
110	58	3125
111	59	3126
112	60	3126
113	60	3125
114	61	3125
115	61	3125
116	62	3126
117	62	3126
118	63	3128
119	63	3128
120	64	3128
121	64	3129
122	65	3139
123	66	3139
124	66	3139
125	67	3138
126	67	3138
127	68	3139
128	68	3140
129	69	3139
130	70	3139
131	70	3139
132	71	3139
133	71	3139
134	72	3138
135	72	3138
136	73	3137
137	73	3136
138	74	3137
139	74	3137
140	75	3136
141	76	3135
142	76	3136
143	77	3136
144	77	3134
145	78	3133
146	78	3134
147	79	3134
148	79	3134
149	80	3133
150	80	3132
151	81	3133
152	82	3133
153	82	3134
154	83	3134
155	83	3134
156	84	3135
157	84	3136
158	86	3161
159	86	3160
160	87	3159
161	87	3158
162	88	3158
163	88	3158
164	89	3157
165	89	3156
166	90	3154
167	90	3154
168	91	3153
169	91	3151
170	92	3150
171	92	3148
172	93	3149
173	94	3150
174	94	3150
175	95	3149
176	95	3149
177	96	3148
178	96	3148
179	97	3149
180	97	3149
181	98	3149
182	99	3149
183	99	3148
184	100	3147
185	100	3147
186	101	3146
187	101	3146
188	102	3147
189	102	3146
190	103	3145
191	103	3144
192	104	3143
193	105	3143
194	105	3142
195	106	3141
196	106	3141
197	107	3141
198	107	3140
199	108	3140
200	108	3139
201	109	3138
202	109	3138
203	110	3138
204	110	3136
205	111	3136
206	112	3136
207	112	3135
208	113	3134
209	113	3134
210	114	3134
211	114	3133
212	115	3133
213	115	3132
214	116	3132
215	116	3131
216	117	3130
217	118	3129
218	118	3129
219	119	3128
220	119	3128
221	120	3127
222	120	3127
223	121	3126
224	121	3126
225	122	3125
226	122	3124
227	123	3124
228	123	3124
229	124	3124
230	125	3123
231	125	3123
232	126	3122
233	126	3122
234	127	3121
235	127	3121
236	128	3121
237	128	3120
238	129	3121
239	130	3121
240	130	3121
241	131	3121
242	131	3121
243	132	3121
244	132	3120
245	133	3120
246	133	3119
247	134	3118
248	134	3117
249	135	3116
250	136	3116
251	136	3116
252	137	3115
253	137	3115
254	138	3115
255	138	3116
256	139	3116
257	140	3116
258	140	3115
259	141	3115
260	141	3114
261	142	3114
262	142	3113
263	143	3113
264	143	3112
265	144	3111
266	144	3110
267	145	3110
268	146	3111
269	146	3110
270	147	3110
271	147	3109
272	148	3109
273	148	3108
274	149	3108
275	149	3107
276	150	3108
277	151	3108
278	151	3108
279	152	3107
280	152	3107
281	153	3107
282	153	3106
283	154	3106
284	154	3105
285	155	3104
286	156	3116
287	157	3115
288	157	3115
289	158	3114
290	158	3114
291	159	3113
292	159	3112
293	160	3112
294	160	3112
295	161	3112
296	162	3112
297	162	3112
298	163	3112
299	163	3111
300	164	3111
301	164	3111
302	165	3111
303	166	3111
304	166	3112
305	167	3113
306	167	3113
307	168	3113
308	169	3113
309	169	3113
310	170	3114
311	170	3114
312	171	3115
313	172	3115
314	172	3116
315	173	3117
316	173	3117
317	174	3117
318	175	3118
319	175	3118
320	176	3120
321	177	3122
322	177	3122
323	178	3123
324	178	3124
325	179	3125
326	180	3125
327	181	3132
328	181	3133
329	182	3133
330	183	3134
331	183	3134
332	184	3134
333	184	3135
334	185	3136
335	186	3136
336	186	3137
337	187	3137
338	187	3137
339	188	3138
340	189	3139
341	189	3139
342	190	3139
343	190	3139
344	191	3140
345	192	3141
346	192	3142
347	193	3143
348	194	3144
349	194	3143
350	195	3143
351	195	3143
352	196	3144
353	197	3144
354	197	3144
355	198	3145
356	198	3144
357	199	3144
358	200	3144
359	200	3145
360	201	3147
361	202	3147
362	202	3147
363	203	3148
364	203	3149
365	204	3149
366	205	3149
367	205	3149
368	206	3150
369	207	3150
370	207	3154
371	208	3154
372	209	3155
373	209	3155
374	210	3155
375	210	3155
376	211	3156
377	212	3156
378	212	3156
379	213	3155
380	213	3155
381	214	3155
382	215	3155
383	215	3155
384	216	3155
385	216	3155
386	217	3156
387	218	3159
388	219	3159
389	219	3159
390	220	3159
391	220	3158
392	221	3157
393	221	3156
394	222	3155
395	222	3154
396	223	3153
397	224	3154
398	224	3153
399	225	3152
400	225	3151
401	226	3150
402	226	3152
403	227	3151
404	228	3151
405	228	3150
406	229	3149
407	229	3148
408	230	3147
409	230	3146
410	231	3145
411	231	3144
412	232	3143
413	232	3143
414	233	3142
415	234	3141
416	234	3140
417	235	3149
418	236	3151
419	237	3152
420	237	3152
421	238	3151
422	238	3150
423	239	3149
424	240	3148
425	240	3147
426	241	3146
427	241	3145
428	242	3145
429	242	3144
430	243	3143
431	243	3142
432	244	3140
433	244	3139
434	245	3138
435	245	3137
436	246	3136
437	246	3135
438	247	3134
439	248	3133
440	248	3133
441	249	3132
442	249	3132
443	250	3131
444	250	3130
445	251	3129
446	251	3128
447	252	3128
448	252	3127
449	253	3126
450	254	3126
451	254	3124
